Word,Starting Letter,WordLength,Scrabble Value,Max Possible Bouns
ABRENOUNCE, A,10,14,48
ABRICO, A,6,10,26
ABRIDGE, A,7,11,31
ABRIDGED, A,8,13,45
ABRIDGEDLY, A,10,18,62
ABRIDGER, A,8,12,42
ABRIDGMENT, A,10,16,54
ABRISTLE, A,8,10,36
ABROACH, A,7,14,40
ABROAD, A,6,9,24
ABROCOMA, A,8,14,48
ABROCOME, A,8,14,48
ABROGATE, A,8,11,39
ABROGATION, A,10,13,45
ABROGATIVE, A,10,16,56
ABROGATOR, A,9,12,42
ABROMA, A,6,10,26
ABRONIA, A,7,9,27
ABROTANUM, A,9,13,45
ABROTINE, A,8,10,36
ABRUPT, A,6,10,26
ABRUPTEDLY, A,10,18,62
ABRUPTION, A,9,13,45
ABRUPTLY, A,8,15,53
ABRUPTNESS, A,10,14,48
ABSALOM, A,7,11,31
ABSAMPERE, A,9,15,51
ABSCESS, A,7,11,31
ABSCESSED, A,9,14,48
ABSCESSION, A,10,14,48
ABSCESSROOT, A,11,15,51
ABSCIND, A,7,12,33
ABSCISE, A,7,11,31
ABSCISION, A,9,13,45
ABSCISS, A,7,11,31
ABSCISSA, A,8,12,42
ABSCISSAE, A,9,13,45
ABSCISSE, A,8,12,42
ABSCISSION, A,10,14,48
ABSCOND, A,7,12,33
ABSCONDED, A,9,15,51
ABSCONDEDLY, A,11,20,68
ABSCONDER, A,9,14,48
ABSCONSA, A,8,12,42
ABSENCE, A,7,11,31
ABSENT, A,6,8,22
ABSENTATION, A,11,13,45
ABSENTEE, A,8,10,36
ABSENTEEISM, A,11,15,51
ABSENTEESHIP, A,12,19,65
ABSENTER, A,8,10,36
ABSENTLY, A,8,13,47
ABSENTMENT, A,10,14,48
ABSENTMINDEDLY, A,14,23,77
ABSENTNESS, A,10,12,42
ABSFARAD, A,8,14,50
ABSHENRY, A,8,16,56
ABSINTHE, A,8,13,47
ABSINTHIAL, A,10,15,53
ABSINTHIAN, A,10,15,53
ABSINTHIATE, A,11,16,56
ABSINTHIC, A,9,16,56
ABSINTHIN, A,9,14,50
ABSINTHINE, A,10,15,53
ABSINTHISM, A,10,17,59
ABSINTHISMIC, A,12,21,71
ABSINTHIUM, A,10,17,59
ABSINTHOL, A,9,14,50
ABSMHO, A,6,13,34
ABSOHM, A,6,13,34
ABSOLUTE, A,8,10,36
ABSOLUTELY, A,10,15,53
ABSOLUTENESS, A,12,14,48
ABSOLUTION, A,10,12,42
ABSOLUTISM, A,10,14,48
ABSOLUTIST, A,10,12,42
ABSOLUTISTIC, A,12,16,54
ABSOLUTIVE, A,10,15,53
ABSOLUTORY, A,10,15,53
ABSOLVATORY, A,11,19,65
ABSOLVE, A,7,12,36
ABSOLVENT, A,9,14,50
ABSOLVER, A,8,13,47
ABSOLVITOR, A,10,15,53
ABSOLVITORY, A,11,19,65
ABSONANT, A,8,10,36
ABSONOUS, A,8,10,36
ABSORPT, A,7,11,31
ABSORPTANCE, A,11,17,57
ABSORPTIOMETER, A,14,20,66
ABSORPTION, A,10,14,48
ABSORPTIVE, A,10,17,59
ABSORPTIVELY, A,12,22,74
ABSORPTIVENESS, A,14,21,71
ABSORPTIVITY, A,12,22,74
ABSTAIN, A,7,9,27
ABSTAINER, A,9,11,39
ABSTAINMENT, A,11,15,51
ABSTEMIOUS, A,10,14,48
ABSTEMIOUSLY, A,12,19,65
ABSTENTION, A,10,12,42
ABSTENTIONIST, A,13,15,51
ABSTENTIOUS, A,11,13,45
ABSTERGE, A,8,11,39
ABSTERGENT, A,10,13,45
ABSTERSION, A,10,12,42
ABSTERSIVE, A,10,15,53
ABSTINENCE, A,10,14,48
ABSTINENCY, A,10,17,59
ABSTINENT, A,9,11,39
ABSTINENTIAL, A,12,14,48
ABSTINENTLY, A,11,16,56
